date,venueType,venueName,city,state,peopleKilled,peopleInjured,pistol,rifle,shotgun,unknownGun,explosive,knife,nonMetallicObject,googleMapsUrl
4/20/2014,10,Al Barnes Park,Tampa,FL,2,2,0,0,0,2,0,0,0,"https://www.google.com/maps/place/Alfred+%22Al%22+Barnes,+Jr.+Park/@27.969222,-82.425506,17z/data=!3m1!4b1!4m2!3m1!1s0x88c2c5b6bf64961f:0x126883aaf57f6211"
4/21/2014,1,St. Mary Catholic School,Griffith,IN,1,0,1,0,0,0,0,0,0,"https://www.google.com/maps/place/Saint+Mary+School/@41.530387,-87.427182,17z/data=!3m1!4b1!4m2!3m1!1s0x8811e6fdb8c6dbff:0x40f03f25ba3a4a8d"
4/26/2014,1,Iowa Western Community College,Council Bluffs,IA,0,1,1,0,0,0,0,0,0,"https://www.google.com/maps/place/Iowa+Western+Community+College/@41.2741402,-95.8010696,16z/data=!3m1!4b1!4m2!3m1!1s0x87938369cab0b2c3:0x4be2902d3a42a56d"
4/28/2014,1,Madison High School,San Antonio,TX,0,0,2,1,0,0,0,1,0,"https://www.google.com/maps/place/James+Madison+High+School/@29.583497,-98.391382,17z/data=!3m1!4b1!4m2!3m1!1s0x865c8c7731de6909:0x9739ebf86f6e7143"
4/29/2014,2,FedEx ,Kennesaw,GA,1,6,0,0,0,1,0,0,0,"https://www.google.com/maps/search/fedex+near+Kennesaw,+GA/@34.0261809,-84.6170435,13z/data=!3m1!4b1"
4/30/2014,1,A&T State University,Greensboro,NC,1,0,1,0,0,0,0,0,0,"https://www.google.com/maps/place/North+Carolina+A%26T+State+University/@36.073036,-79.772232,17z/data=!3m1!4b1!4m2!3m1!1s0x885318b6c802beff:0xb361e69eb64bc3e0"
5/2/2014,1,Marquette University,Milwaukee,WI,0,1,1,0,0,0,0,0,0,"https://www.google.com/maps/place/Marquette+University/@43.0388508,-87.9304238,16z/data=!3m1!4b1!4m2!3m1!1s0x88051981d7c00c5b:0x55bd51582acc120b"
5/2/2014,6,Travel Lure Hotel,Aberdeen,WA,0,1,1,0,0,0,0,0,0,http://www.kirotv.com/news/news/aberdeen-shooting-leaves-1-injured/nfnZm/
5/3/2014,1,Horizon Elementary School,Everett,WA,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Horizon+Elementary+School/@47.920568,-122.237065,17z/data=!3m1!4b1!4m2!3m1!1s0x549000d9fbc73011:0xc77861c405b1024f"
5/4/2014,1,Paine College,Augusta,GA,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Paine+College/@33.4697067,-81.9955525,17z/data=!3m1!4b1!4m2!3m1!1s0x88f9cc356bb6b3a3:0x6f688b510ddd1937"
5/5/2014,1,Paine College,Augusta,GA,0,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Paine+College/@33.4697067,-81.9955525,17z/data=!3m1!4b1!4m2!3m1!1s0x88f9cc356bb6b3a3:0x6f688b510ddd1937"
5/8/2014,1,Georgetown College,Georgetown,KY,0,1,1,0,0,0,0,0,0,"https://www.google.com/maps/place/Georgetown+College/@38.207007,-84.554323,17z/data=!3m1!4b1!4m2!3m1!1s0x88423f726dec8bf9:0xc4a985e7c9cb4c2b"
5/11/2014,6,America's Best Value Inn,Houston,TX,1,0,0,0,0,2,0,0,0,http://www.americasbestvalueinn.com/bestv.cfm?idp=912&rcode=sim2014
5/12/2014,10,Universal City Walk,Los Angeles,CA,1,0,1,0,0,0,0,0,0,https://www.google.com.ph/webhp?sourceid=chrome-instant&rlz=1C1CHMO_enPH585PH585&ion=1&espv=2&ie=UTF-8#newwindow=1&q=universal+city+walk
5/17/2014,7,Palms Casino Resort,LasVegas,NV,1,1,0,0,0,1,0,0,0,"https://www.google.com/maps/place/Palms+Casino+Resort/@36.11422,-115.194996,17z/data=!3m1!4b1!4m2!3m1!1s0x80c8c69929a4e157:0x3408652dadfedf7e"
